# 2024 weighted leaderboard as displayed in the newsletters. NOTE: the 2024
# algorithm reported figures that do not normalize to 100% (ties appear to have
# counted fully for each tied competitor rather than splitting the mass), so
# treat these as as-displayed win-chance figures and trust the RANKINGS over the
# absolute sums. Blank = eliminated (0%) or not separately listed that week.
# Weeks 5, 7, 12, 14, 17 had no published newsletter.
week,Amir,Andy,Buhduh,Emer,Hanan,Jacob,Jay,Jen,Marsha,Nathan,Pop,Sarah
0,5.1,18.6,15.8,7.9,5.9,27.7,7.1,10.2,15.6,10.5,25.8,13.1
1,10.4,5.1,12.2,22.4,23.5,11.9,24.3,9.4,5.4,6.1,19.5,24.2
2,5.4,6.5,11.2,21.3,24.7,10.2,23.0,10.3,3.8,3.5,37.7,27.1
3,7.8,1.0,15.9,26.2,13.2,16.1,32.2,1.3,6.0,4.9,48.6,12.6
4,7.1,0.0,16.4,55.1,11.2,14.1,25.2,0.0,4.1,3.8,48.6,7.1
6,2.7,0.0,24.4,50.1,5.8,20.5,22.9,0.0,3.1,5.8,57.1,18.9
8,2.3,0.0,24.5,48.9,17.1,20.3,24.5,0.0,3.1,12.2,50.5,18.2
9,3.5,0.0,32.9,70.3,24.4,26.9,45.4,0.0,0.0,0.0,45.4,24.5
11,0.0,0.0,48.5,0.0,0.0,18.4,88.7,0.0,0.0,0.0,44.7,6.3
13,0.0,0.0,49.4,0.0,0.0,0.0,88.4,0.0,0.0,0.0,45.2,6.2
15,0.0,0.0,54.4,54.4,0.0,0.0,91.2,0.0,0.0,0.0,12.1,0.0
16,0.0,0.0,100.0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
