week,Amir,Andy,Buhduh,Emer,Hanan,Jacob,Jay,Jen,Marsha,Nathan,Pop,Sarah
0,8.6,15.1,11.3,7.1,9.2,5.1,1.7,6.9,10.3,13.5,4.5,6.7
1,3.8,18.5,12.3,5.5,5.7,11.6,0.9,6.2,11.1,15.6,3.5,5.2
2,8.9,9.5,22.4,3.4,2.9,16.5,2.0,3.4,7.0,9.3,5.6,9.2
3,15.0,13.1,11.1,4.7,4.2,2.4,2.7,3.6,8.4,10.8,7.9,15.9
4,20.9,2.5,3.4,6.8,0.0,2.1,5.9,4.0,11.0,12.9,9.8,20.7
5,15.1,3.7,4.1,6.5,0.0,5.4,4.9,3.5,9.4,14.8,9.0,23.6
6,13.5,2.6,3.3,3.3,0.0,6.5,3.7,0.0,26.4,11.2,6.4,23.1
7,18.6,0.0,3.7,3.3,0.0,2.4,7.6,0.0,33.4,11.1,9.2,10.7
8,22.7,0.0,0.0,3.6,0.0,1.2,7.0,0.0,34.5,11.6,10.1,9.5
9,22.7,0.0,0.0,3.6,0.0,1.2,7.0,0.0,34.5,11.6,10.1,9.5
10,32.3,0.0,0.0,9.2,0.0,0.0,15.5,0.0,9.4,16.4,17.2,0.0
11,21.2,0.0,0.0,13.1,0.0,0.0,8.5,0.0,14.9,7.4,35.0,0.0
12,0.0,0.0,0.0,17.9,0.0,0.0,7.4,0.0,33.6,17.3,23.8,0.0
13,0.0,0.0,0.0,18.2,0.0,0.0,8.0,0.0,36.6,16.3,20.9,0.0
14,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,26.4,37.9,22.2,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,37.0,29.6,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,49.4,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
